,date,nav
2114,09-11-2017,58.08040
2115,08-11-2017,57.23730
2116,07-11-2017,57.57580
2117,06-11-2017,57.86980
2118,03-11-2017,57.57920
2119,02-11-2017,56.68750
2120,01-11-2017,55.87530
2121,31-10-2017,55.41710
2122,30-10-2017,55.09440
2123,27-10-2017,54.52320
2124,26-10-2017,54.12880
2125,25-10-2017,53.98480
2126,24-10-2017,54.51460
2127,23-10-2017,54.34240
2128,18-10-2017,54.42440
2129,17-10-2017,54.53880
2130,16-10-2017,54.21140
2131,13-10-2017,54.17170
2132,12-10-2017,53.99710
2133,11-10-2017,53.67800
2134,10-10-2017,54.35800
2135,09-10-2017,53.97160
2136,06-10-2017,53.81250
2137,05-10-2017,53.44760
2138,04-10-2017,53.23950
2139,03-10-2017,52.32130
2140,29-09-2017,51.96100
2141,28-09-2017,51.23620
2142,27-09-2017,50.83200
2143,26-09-2017,51.67840
2144,25-09-2017,51.05010
2145,22-09-2017,51.59950
2146,21-09-2017,53.30410
2147,20-09-2017,53.36020
2148,19-09-2017,52.96860
2149,18-09-2017,52.38040
2150,15-09-2017,51.75180
2151,14-09-2017,51.31820
2152,13-09-2017,50.69650
2153,12-09-2017,51.08520
2154,11-09-2017,50.76960
2155,08-09-2017,50.54810
2156,07-09-2017,50.47900
2157,06-09-2017,50.29490
2158,05-09-2017,50.08830
2159,04-09-2017,49.58880
2160,01-09-2017,49.64480
2161,31-08-2017,49.14820
2162,30-08-2017,48.48610
2163,29-08-2017,48.13840
2164,28-08-2017,48.53920
2165,24-08-2017,48.24800
2166,23-08-2017,48.19170
2167,22-08-2017,47.91540
2168,21-08-2017,47.71790
2169,18-08-2017,48.38330
2170,17-08-2017,48.70340
2171,16-08-2017,48.32250
2172,14-08-2017,47.73700
2173,11-08-2017,46.93310
2174,10-08-2017,46.60040
2175,09-08-2017,47.65330
2176,08-08-2017,48.14000
2177,07-08-2017,48.57160
2178,04-08-2017,48.15070
2179,03-08-2017,48.03550
2180,02-08-2017,48.43400
2181,01-08-2017,48.81850
2182,31-07-2017,48.65370
2183,28-07-2017,48.58110
2184,27-07-2017,48.15890
2185,26-07-2017,48.46630
2186,25-07-2017,48.26630
2187,24-07-2017,48.24890
2188,21-07-2017,48.26290
2189,20-07-2017,48.43080
2190,19-07-2017,48.23220
2191,18-07-2017,47.94290
2192,17-07-2017,47.97000
2193,14-07-2017,47.79040
2194,13-07-2017,48.24030
2195,12-07-2017,47.98100
2196,11-07-2017,47.89990
2197,10-07-2017,47.75710
2198,07-07-2017,47.66890
2199,06-07-2017,47.60480
2200,05-07-2017,47.60570
2201,04-07-2017,47.30410
2202,03-07-2017,47.08640
2203,30-06-2017,46.34840
2204,29-06-2017,46.17690
2205,28-06-2017,45.71990
2206,27-06-2017,46.09490
2207,23-06-2017,46.41260
2208,22-06-2017,46.95420
2209,21-06-2017,46.80160
2210,20-06-2017,46.62470
2211,19-06-2017,46.49240
2212,16-06-2017,46.27990
2213,15-06-2017,46.12150
2214,14-06-2017,45.78990
2215,13-06-2017,45.76000
2216,12-06-2017,45.64260
2217,09-06-2017,45.39980
2218,08-06-2017,45.36660
2219,07-06-2017,45.22290
2220,06-06-2017,44.89320
2221,05-06-2017,45.12000
2222,02-06-2017,44.86930
2223,01-06-2017,44.59200
2224,31-05-2017,44.56770
2225,30-05-2017,44.21410
2226,29-05-2017,44.42950
2227,26-05-2017,44.85990
2228,25-05-2017,44.22570
2229,24-05-2017,43.34840
2230,23-05-2017,44.02490
2231,22-05-2017,44.86600
2232,19-05-2017,45.24310
2233,18-05-2017,45.58920
2234,17-05-2017,45.80480
2235,16-05-2017,45.68600
2236,15-05-2017,45.60240
2237,12-05-2017,45.11860
2238,11-05-2017,45.57280
2239,10-05-2017,45.83310
2240,09-05-2017,45.46960
2241,08-05-2017,45.25130
2242,05-05-2017,44.95030
2243,04-05-2017,45.06970
2244,03-05-2017,44.87410
2245,02-05-2017,44.87760
2246,28-04-2017,44.99680
2247,27-04-2017,44.96400
2248,26-04-2017,44.69340
2249,25-04-2017,45.29740
2250,24-04-2017,45.27120
2251,21-04-2017,44.99580
2252,20-04-2017,45.00120
2253,19-04-2017,44.60320
2254,18-04-2017,44.56120
2255,17-04-2017,44.96190
2256,13-04-2017,44.78000
2257,12-04-2017,44.84620
2258,11-04-2017,45.01130
2259,10-04-2017,44.70750
2260,07-04-2017,44.34250
2261,06-04-2017,44.69780
2262,05-04-2017,44.59420
2263,03-04-2017,43.28630
2264,31-03-2017,42.78840
2265,30-03-2017,42.69100
2266,29-03-2017,42.35730
2267,28-03-2017,42.34970
2268,27-03-2017,42.26590
2269,24-03-2017,42.22840
2270,23-03-2017,42.17190
2271,22-03-2017,42.00260
2272,21-03-2017,42.14560
2273,20-03-2017,42.24000
2274,17-03-2017,41.97770
2275,16-03-2017,41.81890
2276,15-03-2017,41.30270
2277,14-03-2017,41.30400
2278,10-03-2017,40.98160
2279,09-03-2017,41.07320
2280,08-03-2017,41.00060
2281,07-03-2017,41.07030
2282,06-03-2017,40.96560
2283,03-03-2017,40.94170
2284,02-03-2017,40.77130
2285,01-03-2017,41.24220
2286,28-02-2017,40.90080
2287,27-02-2017,40.76850
2288,23-02-2017,41.03000
2289,22-02-2017,40.99460
2290,21-02-2017,41.22540
2291,20-02-2017,41.12510
2292,17-02-2017,40.83730
2293,16-02-2017,40.82380
2294,15-02-2017,40.36280
2295,14-02-2017,41.09170
2296,13-02-2017,41.26570
2297,10-02-2017,41.29940
2298,09-02-2017,40.99090
2299,08-02-2017,40.95860
2300,07-02-2017,40.92430
2301,06-02-2017,40.72070
2302,03-02-2017,40.32050
2303,02-02-2017,39.61380
2304,01-02-2017,39.53250
2305,31-01-2017,39.18620
2306,30-01-2017,39.31440
2307,27-01-2017,39.57650
2308,25-01-2017,39.31390
2309,24-01-2017,39.19810
2310,23-01-2017,38.76860
2311,20-01-2017,38.61060
2312,19-01-2017,38.97910
2313,18-01-2017,38.85080
